0x00800112,asg_filtered_fuel_demand_baseline,medium,"Filtered fuel demand baseline in governor; loaded from rpm_control_override_flag on reset; blended with fuel_blend_table_5_ptr ratio; clamped to 0x1700; combined with asg_state_x6 for final fuel demand"
0x0080015d,aux_driver_port2_bit4_high_side_error_count,medium,IO driver port 2 bit 4 high-side fault counter; sets error word 9 bit 0x10 when threshold exceeded
0x0080015e,aux_driver_port2_bit4_low_side_error_count,medium,IO driver port 2 bit 4 low-side fault counter; sets error word 9 bit 0x8 when threshold exceeded
0x0080015f,aux_driver_port2_bit6_high_side_error_count,medium,IO driver port 2 bit 6 high-side fault counter; sets error word 9 bit 0x40 when threshold exceeded
0x00800161,aux_driver_port2_bit3_high_side_error_count,medium,IO driver port 2 bit 3 high-side fault counter; sets error word 9 bit 0x100 when threshold exceeded
0x008001a8,current_pulse_period_value,medium,"Current engine speed pulse period value; loaded from io_control_handshake_state or eps_period_backup depending on sensor select; used in sync detection buffer checks and threshold scaling"
0x008001b4,pulse_period_table_end_pointer,medium,"Pointer to end of pulse period circular buffer; set to eps_control_mode_param_1 or _3 depending on primary/backup sensor; used as wrap-around boundary in buffer traversal for sync detection"
0x008002a6,crank_pulse_accumulator,medium,Accumulates io_control_handshake_state values over 4-sample windows in FUN_0001266e; reset to 0 at crank position match and after storing to table; stored as oil_pressure_crank_exit_ptr
0x008005ae,engine_rpm_filtered_extended,medium,"Extended precision (32-bit) filtered engine RPM; set to engine_speed_constant_2/pulse_period_sum or DAT_0080a92c shifted left 16; cleared to 0 when speed sensor lost"
0x008005fe,epf_fuel_limit_table_size,medium,"Lookup table descriptor size field; set to 2 during init in FUN_000185f0; used as base of table structure passed to lookupTableInterpolation for EPF fuel limit calculation"
0x00800aa0,diagnostic_fault_status_bitmap_0,medium,32-bit word used as bitmap with set/clear/check-any-nonzero operations indexed by bit position; likely tracks active diagnostic fault states (first word of array)
0x00800aa4,diagnostic_fault_status_bitmap_1,medium,32-bit word used as bitmap with set/clear/check-any-nonzero operations indexed by bit position; second word in parallel bitmap array
0x00800aa8,diagnostic_fault_status_bitmap_2,medium,32-bit word used as bitmap with set/clear/check-any-nonzero operations indexed by bit position; third word in parallel bitmap array
0x008019e2,io_control_fluids_lamp_blink_active,medium,Set to 1 when fluids lamp blink requested via io control and cleared after 0x77 blink cycles complete with associated counter reset
0x00801a22,lamp_controller_startup_counter,medium,Incremented up to 401 each lamp cycle and gates fault lamp blink pattern generator to run only between counts 100 and 399
0x00801e76,ecu_identity_mismatch_counter,medium,"Counter incremented on ECU identity pattern mismatch, reset to 0 on match; value 0x11 returns 1 (fail). Used in ECU identity verification function"
0x00801ee9,ccvs_message_byte_7,medium,"Byte 7 of CCVS message; composed from switch_16 bits 5-7 mapped to J1939 status positions (0xC0 base with optional 0x10/0x04/0x01)"
0x008034f2,software_id_data_buffer_start,medium,"Start of 28-byte data buffer for PGN 0xFEE3 (Software Identification) message; populated by FUN_0003320e and sent via sendCanMessage in FUN_0003366a/FUN_000334ec"
0x00803bf0,stcg_switch_invert_config,medium,"Determines STCG enable XOR behavior: when 1 and throttle interlock set, STCG=0; when 0 and interlock set, STCG=1; directly assigned to STCG enable in fuelBlendTablePointerSetup"
0x00803cca,calibration_feature_flags_word_10,medium,Bit-mapped calibration flags; bit 3 controls throttle interlock logic; bit 4 enables boost diagnostic monitoring; bit 10 controls VP44 sensor diagnostic path
0x00803cd6,engine_brake_and_input_inversion_flags,medium,Bits 1/2/4 invert discrete input sample bits in sampleDiscreteInputPins; bit 0x10 enables J1939 engine brake command processing in FUN_00020380
0x00803f3a,fuel_table_offset_trim,medium,added as offset to blended fuel table lookup result in calculateBlendedTableValue and throttle fuel calculation
0x00803fe2,eeprom_calibration_checksum_primary,medium,Primary redundant checksum for EEPROM calibration data validation; compared against secondary copy (fe4) in validateRedundantSensors; written as sum of fea+fec via parameterCircularBufferWrite
0x00803fe4,eeprom_calibration_checksum_secondary,medium,Secondary redundant checksum for EEPROM calibration data; compared against primary (fe2) to detect data corruption; synced to primary via parameterCircularBufferWrite on mismatch
0x00803fe6,powerdown_data_loss_consecutive_count,medium,Counter of consecutive powerdown data validation failures; compared against number_of_consecutive_occurances_of_powerdown_data_lost_to_set threshold; incremented when primary/secondary checksums mismatch; triggers system error status bit 0x800
0x00803fea,powerdown_loss_count_secondary,medium,secondary powerdown data loss counter incremented on mismatch and added to vp44_reset_count for total
0x00804f9e,throttle_idle_position_reference,medium,Throttle reference baseline subtracted from sampled throttle to calculate percent command; derived from low idle offset plus minimum throttle
0x00805308,data_collector_channel_config_table,medium,"Start of channel config table (array of 4-byte entries); initialized in initVp44BufferAddresses and iterated to count channels"
0x00805fac,lamp_fault_tracking_list_count,medium,"Count of entries in fault-to-lamp tracking list in hourMeterEventLogger; incremented when fault with lamp mapping activates, decremented when deactivated"
0x00806192,engine_cranking_event_counter,medium,Incremented when engine operating state equals 0x12; reset to zero on statistics clear; likely counts cranking or start attempts
0x00807ce4,throttle_range_span_calibration,medium,Calibration value defining throttle sensor operating range; added to low idle offset for upper bound and to 4 for initial minimum throttle
0x00807cf0,throttle_low_idle_offset,medium,Calibration offset for throttle low idle position; used as baseline in throttle percentage calculations and range checks
0x00807ec8,timer_period_total_counts,medium,compared < 2 for table init position and divided by 6 for timer register and by period_meas_per_cam for prescaler - represents total timer counts for speed measurement
0x00807ef4,crank_fuel_offset_adjustment_0_100,medium,always added to crank_exit_fuel_adjustment in fuel limit and timing table lookups during cranking
0x00808144,hsg_maximum_reference_speed_limit,medium,used as upper bound on reference_speed_before_droop and reported in J1708 diagnostic message 46 scaled by /0x50
0x008088a4,pid_proportional_blend_weight,medium,Used as blending weight between two gain paths (0x7fff minus this value); appears to be a calibration ratio for PID gain mixing
0x0080899c,pwm3_period_base_counts,medium,multiplied by duty cycle and converted to timer counts for PWM3 output channel
0x0080899e,pwm4_period_base_counts,medium,multiplied by duty cycle and converted to timer counts for PWM4 output channel
0x008089a0,pwm5_period_base_counts,medium,used to calculate PWM5 timer period and duty cycle output registers
0x00809232,cyl_balance_max_deviation,medium,max of two absolute deviation magnitudes capped at 15000
0x00809276,cyl_balance_deviation_a,medium,first deviation metric clamped +/-10000 used in weighted blend for cylinder balance
0x00809278,cyl_balance_deviation_b,medium,second deviation metric clamped +/-10000 paired with deviation_a
